word,phonetic,sentence,chinese
beam,/biːm/,The sun's warm beam shone through the window.,n. 梁；光线；束 v. 发光；微笑；播送
become,/bɪˈkʌm/,He wants to become a doctor when he grows up.,v. 变成；成为；适合
deprive,/dɪˈpraɪv/,The storm deprived the town of electricity for days.,v. 剥夺；使丧失
derive,/dɪˈraɪv/,Many English words derive from Latin.,v. 源自；获得；推论
describe,/dɪˈskraɪb/,Can you describe what the man looked like?,v. 描述；形容；画（图形）
description,/dɪˈskrɪpʃn/,Her description of the event was very detailed.,n. 描述；形容；说明书
deserve,/dɪˈzɜːv/,You deserve a break after all your hard work.,v. 应受；值得
design,/dɪˈzaɪn/,She helped design the new park.,n. 设计；图案；意图 v. 设计；计划；预定
designate,/ˈdezɪɡneɪt/,They will designate a team leader tomorrow.,v. 指定；指派；标明 adj. 已任命但未就职的
desirable,/dɪˈzaɪərəbl/,A quiet location is desirable for a library.,adj. 令人向往的；可取的；性感的
desire,/dɪˈzaɪə(r)/,His greatest desire is to travel the world.,n. 愿望；欲望；情欲 v. 渴望；要求
flaw,/flɔː/,A small flaw was found in the diamond.,n. 瑕疵；缺点；裂痕 v. 使有缺陷
flexible,/ˈfleksəbl/,The schedule is flexible and can be changed.,adj. 灵活的；柔韧的；易弯曲的
fling,/flɪŋ/,He flung the ball across the yard.,v. 猛投；抛；使突然陷入 n. 一时的放纵；投掷
flourish,/ˈflʌrɪʃ/,Plants flourish with enough water and sunlight.,v. 繁荣；茂盛；挥舞 n. 挥舞；华丽辞藻
grow,/ɡrəʊ/,Children grow very quickly.,v. 生长；增长；变得；种植
grown-up,/ˌɡrəʊn ˈʌp/,The children played while the grown-ups talked.,n. 成年人 adj. 成年的；成熟的
growth,/ɡrəʊθ/,The rapid growth of the city surprised everyone.,n. 增长；生长；发展；肿瘤
hinder,/ˈhɪndə(r)/,Bad weather may hinder our travel plans.,v. 阻碍；妨碍
hint,/hɪnt/,She gave a hint about the surprise party.,n. 暗示；线索；少许 v. 暗示；示意
hitherto,/ˌhɪðəˈtuː/,Hitherto, the project has been successful.,adv. 迄今；到目前为止
impact,/ˈɪmpækt/,The news had a big impact on her.,n. 影响；冲击；撞击 v. 冲击；对…产生影响
impair,/ɪmˈpeə(r)/,Loud noise can impair your hearing.,v. 损害；削弱
impart,/ɪmˈpɑːt/,A teacher's job is to impart knowledge.,v. 传授；告知；赋予
implement,/ˈɪmplɪment/,We need to implement the new rules.,v. 实施；执行 n. 工具；器具
implication,/ˌɪmplɪˈkeɪʃn/,The implication of his words was clear.,n. 含意；暗示；牵连
implicit,/ɪmˈplɪsɪt/,There was an implicit agreement between them.,adj. 含蓄的；绝对的；内含的
imply,/ɪmˈplaɪ/,His silence seemed to imply agreement.,v. 暗示；意味；必然包含
import,/ˈɪmpɔːt/,The country imports coffee from Brazil.,v. 进口；输入；意味 n. 进口；进口商品；重要性
importance,/ɪmˈpɔːtns/,The importance of education cannot be overstated.,n. 重要性；重大；傲慢
important,/ɪmˈpɔːtnt/,It is important to drink enough water.,adj. 重要的；重大的；有权力的
impose,/ɪmˈpəʊz/,The government decided to impose a new tax.,v. 推行；强制实行；把…强加于
impress,/ɪmˈpres/,Her speech impressed the audience.,v. 给…留下深刻印象；使意识到；压印
impression,/ɪmˈpreʃn/,My first impression of the city was good.,n. 印象；感想；影响；压痕
impressive,/ɪmˈpresɪv/,The ancient castle was an impressive sight.,adj. 令人赞叹的；令人敬佩的
improve,/ɪmˈpruːv/,He practices every day to improve his skills.,v. 改进；改善；提高
impulse,/ˈɪmpʌls/,She bought the dress on impulse.,n. 冲动；推动力；脉冲 v. 推动
limit,/ˈlɪmɪt/,There is a speed limit on this road.,n. 限度；限制；界限 v. 限制；限定
limitation,/ˌlɪmɪˈteɪʃn/,The study has some limitations due to its small size.,n. 限制；局限；限度
limited,/ˈlɪmɪtɪd/,We have a limited amount of time.,adj. 有限的；受限制的 n. 有限公司
origin,/ˈɒrɪdʒɪn/,The origin of this tradition is unknown.,n. 起源；出身；原点
original,/əˈrɪdʒənl/,She has a very original idea.,adj. 最初的；独创的；原作的 n. 原件；原作
originate,/əˈrɪdʒɪneɪt/,This custom originated centuries ago.,v. 起源；发源；创立
petition,/pəˈtɪʃn/,They signed a petition to save the old tree.,n. 请愿书；诉状；祈求 v. 请愿；请求
phase,/feɪz/,The project is now in its final phase.,n. 阶段；时期；月相 v. 分阶段进行
phenomenon,/fəˈnɒmɪnən/,The northern lights are a natural phenomenon.,n. 现象；奇才；奇迹
philosopher,/fəˈlɒsəfə(r)/,The ancient philosopher asked many questions about life.,n. 哲学家；思想家；达观者
philosophy,/fəˈlɒsəfi/,He studied philosophy at university.,n. 哲学；人生哲学；基本原理
phrase,/freɪz/,"On the other hand" is a common English phrase.,n. 短语；词组；习语 v. 措辞
physical,/ˈfɪzɪkl/,Regular physical exercise is good for health.,adj. 身体的；物理的；物质的 n. 体格检查
physician,/fɪˈzɪʃn/,The physician examined the patient carefully.,n. 医师；内科医生
pierce,/pɪəs/,The needle will pierce the skin.,v. 刺穿；穿孔；突破
corporate,/ˈkɔːpərət/,The corporate office is in the city center.,adj. 公司的；法人的；共同的
corporation,/ˌkɔːpəˈreɪʃn/,He works for a large multinational corporation.,n. 公司；法人；市政当局
reason,/ˈriːzn/,The reason for his absence was illness.,n. 原因；理由；理性 v. 推理；劝说
reasonable,/ˈriːznəbl/,The price for the car seems reasonable.,adj. 合理的；公道的；通情达理的
recent,/ˈriːsnt/,In recent years, technology has changed rapidly.,adj. 最近的；新近的
serve,/sɜːv/,She will serve dinner at seven o'clock.,v. 服务；供应；任职；发球 n. 发球
servant,/ˈsɜːvənt/,The servant cleaned the rooms every morning.,n. 仆人；雇员；公务员
service,/ˈsɜːvɪs/,The hotel offers excellent room service.,n. 服务；公共事业；仪式；部门 v. 维修；提供服务
set,/set/,Please set the table for dinner.,v. 放置；设定；使处于 n. 一套；集合；布景 adj. 固定的；安排好的
setback,/ˈsetbæk/,The bad weather was a setback for the construction.,n. 挫折；阻碍；倒退
setting,/ˈsetɪŋ/,The story has a beautiful seaside setting.,n. 环境；背景；设置；一套餐具
settle,/ˈsetl/,They decided to settle in a small village.,v. 解决；安顿；定居；支付
