word,phonetic,sentence,chinese
shadow,/ˈʃædəʊ/,The cat chased its own shadow on the wall.,n. 影子，阴影；暗处；少许，微量；形影不离的人（或物）；虚幻的事物 v. 跟踪，尾随；盯梢；使变暗；渐变 adj. 影子内阁的
shade,/ʃeɪd/,We sat in the shade of a large tree to escape the sun.,n. 阴凉处，背阴；遮光物，灯罩；色调，明暗；（色彩的）浓淡；细微差别 v. 给...遮挡（光线）；使阴暗；渐变（色彩等）
advise,/ədˈvaɪz/,I would advise you to arrive early for the interview.,v. 建议，劝告；通知，告知
advisable,/ədˈvaɪzəbl/,It is advisable to book tickets in advance during the holiday season.,adj. 明智的，可取的
advocate,/ˈædvəkeɪt/,She is a strong advocate for environmental protection.,n. 拥护者，提倡者，辩护律师 v. 提倡，主张，拥护
sort,/sɔːt/,Can you help me sort these books by author?,n. 种类，类别；某种人 v. 整理，分类；解决（问题）
soul,/səʊl/,Music is food for the soul.,n. 灵魂，心灵；精神，精髓；人
(a)esthetic,/iːsˈθetɪk/,The building's aesthetic design won several awards.,adj. 美学的，审美的；悦目的，雅致的 n. 美学标准，美感
sound,/saʊnd/,The sound of rain is very relaxing.,n. 声音 v. 听起来；发出声音 adj. 完好的，健康的；合理的，明智的；彻底的 adv. 酣畅地（睡觉）
affair,/əˈfeə(r)/,The company's financial affairs are handled by the CFO.,n. 事情，事务；事件；（个人的）风流韵事
sour,/ˈsaʊə(r)/,The milk has turned sour.,adj. 酸的，酸味的；馊的；脾气坏的，尖刻的 v. （使）变酸；（使）恶化，（使）变坏
affect,/əˈfekt/,The bad weather affected our travel plans.,v. 影响；打动，使感动；（疾病）侵袭
source,/sɔːs/,The river's source is in the mountains.,n. 来源，源头；出处，信息来源；水源 v. 寻求...的来源；从特定来源获得
advance,/ədˈvɑːns/,The army continued to advance towards the city.,v. 前进，推进；预付；提前；提出（想法） n. 前进，进展；预付款；增长 adj. 预先的，事先的
advanced,/ədˈvɑːnst/,He is taking an advanced mathematics course.,adj. 高级的，先进的；年迈的
advantage,/ədˈvɑːntɪdʒ/,Her height gives her an advantage in basketball.,n. 优势，有利条件；好处 v. 使处于有利地位；有利于
advice,/ədˈvaɪs/,My father gave me some good advice about saving money.,n. 建议，忠告；通知（正式）
breach,/briːtʃ/,The data breach exposed millions of users' information.,n. 违反，破坏；缺口，裂口 v. 违反，破坏；攻破，突破
afford,/əˈfɔːd/,We can't afford to buy a new car right now.,v. 买得起，负担得起；提供，给予
affirm,/əˈfɜːm/,The court affirmed the lower court's decision.,v. 断言，肯定；证实，确认
affiliate,/əˈfɪlieɪt/,The local club is affiliated with the national organization.,v. 使隶属，使并入；有关联 n. 附属机构，分公司
affection,/əˈfekʃn/,She has a deep affection for her grandparents.,n. 喜爱，感情；爱慕之情
collect,/kəˈlekt/,I like to collect stamps from different countries.,v. 收集，采集；领取；聚集；募捐 adj./adv. 由收件人付款的（地）
collection,/kəˈlekʃn/,He has a large collection of vintage cars.,n. 收集，采集；收藏品；一批物品；募捐
collective,/kəˈlektɪv/,We made a collective decision to postpone the meeting.,adj. 集体的，共同的 n. 集体企业；集体
collide,/kəˈlaɪd/,The two cars collided at the intersection.,v. 碰撞，相撞；冲突，抵触
break,/breɪk/,Be careful not to break the glass.,v. 打破，折断；违反；中断；透露；破晓 n. 破裂；间歇，休息；机会
breakdown,/ˈbreɪkdaʊn/,The car had a breakdown on the highway.,n. 故障，损坏；崩溃；分类细目；分解
breed,/briːd/,This breed of dog is known for its loyalty.,n. 品种，种类 v. 繁殖，饲养；滋生，导致
brevity,/ˈbrevəti/,The brevity of his speech surprised everyone.,n. 简洁，简短；短暂
coincide,/ˌkəʊɪnˈsaɪd/,Our holidays coincide this year, so we can travel together.,v. 同时发生；一致，相符；位置重合
collapse,/kəˈlæps/,The old building collapsed during the earthquake.,v./n. 倒塌，坍塌；崩溃，垮掉；晕倒；暴跌
colleague,/ˈkɒliːɡ/,I discussed the project with my colleague.,n. 同事，同僚
commerce,/ˈkɒmɜːs/,E-commerce has grown rapidly in recent years.,n. 商业，贸易；社交
