word,phonetic,sentence,chinese
invest,/ɪnˈvest/,She decided to invest her savings in a new business.,v. 投资；投入（时间、精力等）；授予，赋予
investment,/ɪnˈvestmənt/,The company is looking for new investment opportunities.,n. 投资；投资额；投入（时间、精力等）；值得投资的事物
investigate,/ɪnˈvestɪɡeɪt/,The police will investigate the cause of the accident.,v. 调查；研究；审查
mutual,/ˈmjuːtʃuəl/,They have a mutual respect for each other's work.,adj. 相互的；彼此的；共同的；共有的
mysterious,/mɪˈstɪəriəs/,There was a mysterious light in the old house.,adj. 神秘的；难以理解的；诡秘的
mystery,/ˈmɪstri/,The disappearance of the ship remains a mystery.,n. 神秘的事物；谜；奥秘；神秘感
myth,/mɪθ/,The story of Hercules is a famous Greek myth.,n. 神话；虚构的故事；荒诞的说法
noble,/ˈnəʊbl/,He was known for his noble character and honesty.,adj. 高尚的；崇高的；贵族的；壮丽的 n. 贵族
norm,/nɔːm/,Working from home has become the new norm.,n. 规范；标准；常态；准则
normal,/ˈnɔːml/,After the storm, life slowly returned to normal.,adj. 正常的；平常的；标准的 n. 常态；正常状态
normalization,/ˌnɔːməlaɪˈzeɪʃn/,The normalization of relations between the two countries was a positive step.,n. 正常化；规范化；标准化
note,/nəʊt/,She left a note on the kitchen table.,n. 笔记；便条；注释；音符；票据；注意 v. 注意；记录；指出
notion,/ˈnəʊʃn/,I have no notion of what you're talking about.,n. 观念；概念；想法；意图
public,/ˈpʌblɪk/,The park is open to the public.,adj. 公共的；公众的；公开的 n. 公众；民众；公共场所
publication,/ˌpʌblɪˈkeɪʃn/,The publication of her first novel was a great success.,n. 出版；出版物；发表；公布
publicity,/pʌˈblɪsəti/,The event received a lot of publicity in the media.,n. 公众的注意；宣传；宣扬；知名度
publish,/ˈpʌblɪʃ/,The author plans to publish a new book next year.,v. 出版；发表；公布；发行
result,/rɪˈzʌlt/,The test results will be available next week.,n. 结果；后果；成效；比分 v. 导致；结果是
resultant,/rɪˈzʌltənt/,The storm and the resultant flooding caused widespread damage.,adj. 作为结果的；因而发生的 n. 结果；合力
resume,/rɪˈzjuːm/,Please resume your work after the break.,v. （中断后）重新开始；继续；恢复 /ˈrɛzjʊmeɪ/ n. 简历；摘要
reveal,/rɪˈviːl/,The investigation revealed some surprising facts.,v. 揭示；透露；显示；展现
revelation,/ˌrevəˈleɪʃn/,The book contains many shocking revelations.,n. 被揭示的真相；揭露；启示；意想不到的事
revenge,/rɪˈvendʒ/,He swore to take revenge on those who wronged him.,n. 报复；复仇 v. 替…报仇；报复
revenue,/ˈrevənjuː/,The company's annual revenue increased by 10%.,n. （公司、组织的）收入；收益；财政收入；税收
supply,/səˈplaɪ/,The store has a good supply of fresh fruit.,n. 供应；供给；供应量；补给品 v. 供应；提供；补充
support,/səˈpɔːt/,The bridge needs strong support.,v. 支持；支撑；资助；拥护 n. 支持；支撑；资助；支持物
suppose,/səˈpəʊz/,I suppose you're right about that.,v. 认为；假定；猜想；料想；让（用于建议）
suppress,/səˈpres/,The government tried to suppress the news.,v. 压制；抑制；阻止；查禁；隐瞒
supplement,/ˈsʌplɪmənt/,She takes a vitamin supplement every day.,n. 补充；增补；补遗；增刊；额外费用 v. 增补；补充
supreme,/suːˈpriːm/,The case was decided by the Supreme Court.,adj. 最高的；至上的；最重要的；极度的
system,/ˈsɪstəm/,The solar system consists of the sun and the planets.,n. 系统；体系；制度；方法；身体
systematic,/ˌsɪstəˈmætɪk/,They conducted a systematic search of the area.,adj. 系统的；有条理的；有计划的
logic,/ˈlɒdʒɪk/,Your argument lacks logic.,n. 逻辑；逻辑学；道理；推理方法
logical,/ˈlɒdʒɪkl/,It's the logical conclusion based on the evidence.,adj. 符合逻辑的；合理的；逻辑学的
