word,phonetic,sentence,chinese
rescue,/ˈreskjuː/,The firefighter managed to rescue the cat from the tree.,v. 营救，援救；n. 营救，救援行动
research,/rɪˈsɜːtʃ/,She is doing research on climate change.,n. 研究，调查；v. 研究，调查
resent,/rɪˈzent/,He began to resent his friend's constant criticism.,v. 对…感到愤恨，怨恨
refresh,/rɪˈfreʃ/,I need to refresh my memory before the exam.,v. 使恢复精力，使振作；刷新（网页、记忆等）
refute,/rɪˈfjuːt/,The scientist tried to refute the old theory with new evidence.,v. 驳斥，反驳
region,/ˈriːdʒən/,This plant grows only in tropical regions.,n. 地区，区域；领域，范围
regular,/ˈreɡjələ(r)/,He is a regular customer at this café.,adj. 定期的，有规律的；普通的，常规的；n. 常客，老主顾
regulate,/ˈreɡjuleɪt/,The government regulates the safety of food.,v. 管理，控制；调节，校准
regulation,/ˌreɡjuˈleɪʃn/,There are strict regulations about building height.,n. 规章，条例；管理，控制
replace,/rɪˈpleɪs/,Please replace the book on the shelf after reading.,v. 替换，取代；把…放回原处
reply,/rɪˈplaɪ/,I am waiting for his reply to my email.,n. 回答，答复；v. 回答，答复
report,/rɪˈpɔːt/,She will report her findings to the committee.,n. 报告，报道；v. 报告，汇报；举报
reporter,/rɪˈpɔːtə(r)/,The reporter asked the mayor a tough question.,n. 记者，通讯员
reputation,/ˌrepjuˈteɪʃn/,The company has a reputation for high quality.,n. 名誉，名声
request,/rɪˈkwest/,He made a request for more information.,n. 请求，要求；v. 请求，要求
require,/rɪˈkwaɪə(r)/,This job requires a lot of patience.,v. 需要；要求，规定
requirement,/rɪˈkwaɪəmənt/,Meeting the basic requirements is essential.,n. 要求，必要条件；需要的东西
assess,/əˈses/,The teacher will assess our projects next week.,v. 评估，评定；估价
assimilate,/əˈsɪməleɪt/,It takes time to assimilate into a new culture.,v. 吸收，消化；同化
assist,/əˈsɪst/,Can you assist me with this heavy box?,v. 帮助，协助
assistance,/əˈsɪstəns/,Thank you for your assistance.,n. 帮助，援助
assistant,/əˈsɪstənt/,She works as a teaching assistant.,n. 助手，助理；adj. 辅助的，助理的
assume,/əˈsjuːm/,I assume you have already finished your homework.,v. 假定，假设；承担（责任）；呈现（某种样子）
assumption,/əˈsʌmpʃn/,His argument is based on a false assumption.,n. 假定，假设；担任，承担
contribute,/kənˈtrɪbjuːt/,Everyone can contribute ideas to the discussion.,v. 贡献，捐献；促成，导致；投稿
contribution,/ˌkɒntrɪˈbjuːʃn/,His contribution to science was significant.,n. 贡献，捐献；稿件
controversial,/ˌkɒntrəˈvɜːʃl/,The new policy is highly controversial.,adj. 有争议的，引起争论的
controversy,/ˈkɒntrəvɜːsi/,There was a lot of controversy over the decision.,n. 争论，争议
control,/kənˈtrəʊl/,He tried to control his temper.,n. 控制，支配；v. 控制，支配；管理
convene,/kənˈviːn/,The committee will convene next Monday.,v. 召集，召开（会议）
convention,/kənˈvenʃn/,They attended a business convention in the city.,n. 大会，会议；习俗，惯例；公约
converge,/kənˈvɜːdʒ/,The two roads converge at the town square.,v. 会合，聚集；趋于一致
convey,/kənˈveɪ/,Words cannot convey how grateful I am.,v. 传达，表达；运输，运送
domain,/dəˈmeɪn/,This topic is outside my domain of expertise.,n. 领域，范围；领土，领地
domestic,/dəˈmestɪk/,They prefer domestic travel.,adj. 本国的，国内的；家庭的，家用的；驯养的
dominant,/ˈdɒmɪnənt/,English is the dominant language in international business.,adj. 占优势的，支配的；显性的
dominate,/ˈdɒmɪneɪt/,The tall building dominates the city skyline.,v. 支配，统治；在…中占首要地位；俯视
doom,/duːm/,The project was doomed from the start.,n. 厄运，劫数；v. 注定（失败、死亡等）
double,/ˈdʌbl/,The room has double doors.,adj. 两倍的，双重的；n. 两倍；v. 使加倍；对折
doubt,/daʊt/,I have no doubt that he will succeed.,n. 怀疑，疑惑；v. 怀疑，不相信
probe,/prəʊb/,The journalist began to probe into the scandal.,n. 探针；探究，调查；v. 探查，探测；探究
procedure,/prəˈsiːdʒə(r)/,What is the procedure for applying for a visa?,n. 程序，步骤；手续
proceed,/prəˈsiːd/,Please proceed to the next checkpoint.,v. 继续进行；开始做；行进
professional,/prəˈfeʃənl/,She is a professional photographer.,adj. 职业的，专业的；n. 专业人士，专家
proceeding,/prəˈsiːdɪŋ/,The legal proceedings lasted for months.,n. 诉讼程序；进程；会议记录（常用复数）
process,/ˈprəʊses/,Learning a language is a slow process.,n. 过程，进程；v. 加工，处理；办理
procession,/prəˈseʃn/,A wedding procession moved down the street.,n. 行列，队伍；列队行进
proclaim,/prəˈkleɪm/,The king proclaimed a national holiday.,v. 宣告，宣布；声明；表明
produce,/prəˈdjuːs/,This region produces excellent wine.,v. 生产，制造；引起；出示；/ˈprɒdjuːs/ n. 农产品
product,/ˈprɒdʌkt/,The new product will be launched next month.,n. 产品，产物；结果
production,/prəˈdʌkʃn/,The factory increased its production.,n. 生产，制作；产量；作品
productive,/prəˈdʌktɪv/,It was a very productive meeting.,adj. 多产的，富有成效的；生产性的
productivity,/ˌprɒdʌkˈtɪvəti/,New technology has improved productivity.,n. 生产力，生产效率
profession,/prəˈfeʃn/,Teaching is a noble profession.,n. 职业，专业；声明，表白
professor,/prəˈfesə(r)/,Professor Smith teaches history.,n. 教授
expand,/ɪkˈspænd/,The company plans to expand its business overseas.,v. 扩大，扩展；膨胀；阐述
expert,/ˈekspɜːt/,He is an expert in computer programming.,n. 专家，能手；adj. 熟练的，内行的
expertise,/ˌekspɜːˈtiːz/,She has considerable expertise in finance.,n. 专门知识，专长
expire,/ɪkˈspaɪə(r)/,My passport expires next year.,v. 到期，期满；逝世
instinct,/ˈɪnstɪŋkt/,Birds build nests by instinct.,n. 本能，天性；直觉
institute,/ˈɪnstɪtjuːt/,She works at a research institute.,n. 学院，研究所；v. 建立，制定
institution,/ˌɪnstɪˈtjuːʃn/,Banks are important financial institutions.,n. 机构，制度；建立
expansion,/ɪkˈspænʃn/,The expansion of the city led to traffic problems.,n. 扩大，扩展；膨胀
expect,/ɪkˈspekt/,I expect him to arrive by noon.,v. 期待，预期；认为，料想
expectation,/ˌekspekˈteɪʃn/,The movie did not live up to my expectations.,n. 期待，预期；期望
experience,/ɪkˈspɪəriəns/,Traveling abroad is a wonderful experience.,n. 经验，经历；v. 经历，体验
experiment,/ɪkˈsperɪmənt/,We did a science experiment in class.,n. 实验，试验；v. 进行实验，试验
integral,/ˈɪntɪɡrəl/,Teamwork is an integral part of the project.,adj. 构成整体所必需的，不可或缺的；完整的
integrate,/ˈɪntɪɡreɪt/,The school tries to integrate students from different backgrounds.,v. 使成为一体，使合并；使完整
integrity,/ɪnˈteɡrəti/,He is a man of great integrity.,n. 正直，诚实；完整，完好
insurance,/ɪnˈʃʊərəns/,Do you have travel insurance?,n. 保险；保险费；安全保障
insure,/ɪnˈʃʊə(r)/,It is wise to insure your house against fire.,v. 给…保险；确保
