word,phonetic,sentence,chinese
tie,/taɪ/,He wore a red tie to the interview.,n. 领带；纽带；联系；平局 v. 系，捆，绑；打平；连接
tide,/taɪd/,The tide comes in and goes out twice a day.,n. 潮汐；潮流，趋势 v. 随潮水漂浮；克服（困难）
tidy,/ˈtaɪdi/,Please keep your room tidy.,adj. 整洁的，整齐的 v. 整理，收拾 n. 盛零碎物品的容器
tight,/taɪt/,These shoes are too tight for me.,adj. 紧的；牢固的；严格的 adv. 紧紧地；彻底地
tilt,/tɪlt/,The picture on the wall is at a slight tilt.,n. 倾斜；倾向 v. （使）倾斜；（使）偏向
weekday,/ˈwiːkdeɪ/,I go to work on weekdays.,n. 工作日（周一到周五）
weekly,/ˈwiːkli/,We have a weekly team meeting.,adj. 每周的；一周一次的 adv. 每周；每周一次 n. 周刊
weed,/wiːd/,He spent the afternoon pulling weeds from the garden.,n. 杂草；水草；瘦弱的人 v. 除草；清除
weep,/wiːp/,She began to weep when she heard the sad news.,v. 哭泣，流泪；渗出液体 n. 一阵哭泣
well-known,/ˌwel ˈnəʊn/,He is a well-known author in his country.,adj. 众所周知的，著名的
wet,/wet/,Don't go outside; your hair is still wet.,adj. 湿的；多雨的 v. 弄湿 n. 潮湿；雨天
ancestor,/ˈænsestə(r)/,My ancestors came from a small village.,n. 祖先，祖宗；原型
ancient,/ˈeɪnʃənt/,We studied ancient history in school.,adj. 古代的；古老的；年老的 n. 古代人；古文明
and,/ənd; ænd/,I like tea and coffee.,conj. 和，与；然后；加
anecdote,/ˈænɪkdəʊt/,He told an amusing anecdote about his childhood.,n. 轶事，趣闻
angel,/ˈeɪndʒl/,She is an angel for helping us so much.,n. 天使；善良可爱的人
angle,/ˈæŋɡl/,The two roads meet at a sharp angle.,n. 角；角度；观点 v. 斜移；从特定角度报道
anger,/ˈæŋɡə(r)/,His rude comment filled her with anger.,n. 愤怒，怒火 v. 使发怒，激怒
angry,/ˈæŋɡri/,The teacher was angry because the students were noisy.,adj. 生气的，愤怒的；（伤口）红肿的
ankle,/ˈæŋkl/,She twisted her ankle while running.,n. 脚踝，踝关节
anniversary,/ˌænɪˈvɜːsəri/,They celebrated their wedding anniversary.,n. 周年纪念日
announce,/əˈnaʊns/,The principal will announce the winner soon.,v. 宣布，宣告；通知；广播
antenna,/ænˈtenə/,The insect has two long antennae.,n. 触角，触须；天线
antique,/ænˈtiːk/,She collects antique furniture.,adj. 古老的，古董的 n. 古董，古物
bet,/bet/,I bet you five dollars that it will rain tomorrow.,v. 打赌；敢断定 n. 打赌；赌注
betray,/bɪˈtreɪ/,He felt betrayed when his friend told his secret.,v. 背叛，出卖；泄露（秘密）；辜负
better,/ˈbetə(r)/,Your handwriting is better than mine.,adj. 更好的；更合适的 adv. 更好地；更 v. 改善，提高 n. 更好的事物；优势
between,/bɪˈtwiːn/,The bank is between the post office and the supermarket.,prep. 在…之间 adv. 在中间
beware,/bɪˈweə(r)/,Beware of the dog!,v. 小心，谨防
bewilder,/bɪˈwɪldə(r)/,The complex instructions bewildered the new students.,v. 使迷惑，使糊涂
beyond,/bɪˈjɒnd/,The mountains are beyond the river.,prep. 在…的那边；超出；除…之外 adv. 在更远处；此外
cloth,/klɒθ/,She wiped the table with a soft cloth.,n. 布，布料；一块布（用于特定用途）
clothe,/kləʊð/,It is our duty to feed and clothe our children.,v. 给…穿衣；覆盖
clothes,/kləʊðz/,He put on his clothes and left the house.,n. 衣服，服装
clothing,/ˈkləʊðɪŋ/,This store sells winter clothing.,n. （总称）衣服，衣着
cloud,/klaʊd/,A dark cloud appeared in the sky.,n. 云；阴影；一大群 v. 使模糊；使阴郁
cloudy,/ˈklaʊdi/,It's a cloudy day today.,adj. 多云的；浑浊的；模糊的
clue,/kluː/,The detective found a clue at the crime scene.,n. 线索，提示 v. 为…提供线索
clumsy,/ˈklʌmzi/,He is clumsy and often drops things.,adj. 笨拙的；难处理的；不得体的
cluster,/ˈklʌstə(r)/,A cluster of stars shone brightly.,n. 群，簇，串 v. 聚集，丛生
clutch,/klʌtʃ/,She held her bag tightly in her clutch.,v. 紧握，抓住 n. 紧抓；离合器；一窝蛋
desolate,/ˈdesələt/,The house looked desolate after the storm.,adj. 荒凉的；孤独凄凉的 v. 使荒芜；使悲痛
despair,/dɪˈspeə(r)/,He gave up in despair.,n. 绝望 v. 感到绝望，失去希望
desperate,/ˈdespərət/,The trapped miners were desperate for rescue.,adj. 绝望的；极需要的；孤注一掷的
destination,/ˌdestɪˈneɪʃn/,Our destination is the beach.,n. 目的地，终点；目标
destiny,/ˈdestəni/,He believed it was his destiny to become a great leader.,n. 命运，天命
destruction,/dɪˈstrʌkʃn/,The war caused widespread destruction.,n. 破坏，毁灭，摧毁
destructive,/dɪˈstrʌktɪv/,The hurricane was very destructive.,adj. 破坏性的，毁灭性的
engine,/ˈendʒɪn/,The car's engine needs repair.,n. 发动机，引擎；机车；工具
engineer,/ˌendʒɪˈnɪə(r)/,She is a software engineer.,n. 工程师；技师 v. 设计，建造；策划
engineering,/ˌendʒɪˈnɪərɪŋ/,He studied civil engineering at university.,n. 工程，工程学；操纵，管理
enormous,/ɪˈnɔːməs/,An elephant is an enormous animal.,adj. 巨大的，庞大的
enquire,/ɪnˈkwaɪə(r)/,I will enquire about the train schedule.,v. 询问，打听；调查（同 inquire）
enrich,/ɪnˈrɪtʃ/,Reading can enrich your mind.,v. 使丰富，充实；使肥沃；浓缩（核燃料）
enrol(I),/ɪnˈrəʊl/,You need to enrol for the course by Friday.,v. 登记，注册；招收
final,/ˈfaɪnl/,This is the final chapter of the book.,adj. 最后的，最终的；决定性的 n. 决赛；期末考试
finally,/ˈfaɪnəli/,He finally arrived after a long delay.,adv. 最后，终于；彻底地
fine,/faɪn/,The weather is fine today.,adj. 好的；健康的；晴朗的；细微的 adv. 很好；细微地 n. 罚款 v. 处以罚款
finish,/ˈfɪnɪʃ/,Did you finish your homework?,v. 完成，结束；用完 n. 结束；最后部分；表面光泽
fire,/ˈfaɪə(r)/,They gathered around the fire to keep warm.,n. 火；火灾；热情 v. 开枪；解雇；点燃
fireman,/ˈfaɪəmən/,The fireman rescued the cat from the tree.,n. 消防队员
fireplace,/ˈfaɪəpleɪs/,We sat by the fireplace.,n. 壁炉
fiscal,/ˈfɪskl/,The government announced its new fiscal policy.,adj. 财政的，国库的
fish,/fɪʃ/,He caught a big fish.,n. 鱼；鱼肉 v. 钓鱼；搜寻
fisherman,/ˈfɪʃəmən/,The fisherman goes out to sea early.,n. 渔民，渔夫
inner,/ˈɪnə(r)/,She tried to hide her inner feelings.,adj. 内部的，里面的；内心的 n. 内部，里面
innumerable,/ɪˈnjuːmərəbl/,There are innumerable stars in the sky.,adj. 无数的，数不清的
