word,phonetic,sentence,chinese
survey,/ˈsɜː.veɪ/,The company conducted a survey to understand customer needs.,n. 调查；测量；概览 v. 调查；勘测；审视
suspect,/səˈspekt/,The police suspect the man of stealing the car.,v. 怀疑；猜想 n. 嫌疑犯 adj. 可疑的
suspicion,/səˈspɪʃ.ən/,She had a suspicion that he was not telling the truth.,n. 怀疑；疑心；一点儿
suspicious,/səˈspɪʃ.əs/,The manager became suspicious of the employee's frequent absences.,adj. 怀疑的；可疑的；多疑的
surpass,/səˈpɑːs/,Her performance in the exam surpassed all expectations.,v. 超过；胜过；优于
root,/ruːt/,The tree's roots go deep into the ground.,n. 根；根源；基础 v. 生根；根源在于；搜寻
route,/ruːt/,We took a scenic route to the beach.,n. 路线；途径；航线 v. 按特定路线发送
routine,/ruːˈtiːn/,My morning routine includes exercise and reading.,n. 常规；例行程序；一套动作 adj. 常规的；例行的
rule,/ruːl/,It's important to follow the rules of the game.,n. 规则；统治；尺 v. 统治；支配；裁决
ruler,/ˈruː.lər/,She used a ruler to draw a straight line.,n. 尺子；统治者
switch,/swɪtʃ/,Please switch off the lights when you leave.,n. 开关；转换；改变 v. 转换；改变；交换
swing,/swɪŋ/,The children love to play on the swing in the park.,n. 秋千；摆动；挥动 v. 摇摆；摆动；旋转
swam,/swæm/,He swam across the river yesterday.,v. swim的过去式，游泳
swear,/sweər/,I swear I will tell the truth.,v. 发誓；咒骂；郑重承诺
suspend,/səˈspend/,The school decided to suspend the student for bad behavior.,v. 暂停；悬挂；使停职
revive,/rɪˈvaɪv/,The doctor worked hard to revive the patient.,v. 使苏醒；复兴；重新流行
reward,/rɪˈwɔːd/,She received a reward for her hard work.,n. 报酬；奖赏；回报 v. 奖励；奖赏
rival,/ˈraɪ.vəl/,The two companies are fierce rivals in the market.,n. 竞争对手；敌手 v. 与...竞争；比得上 adj. 竞争的
roll,/rəʊl/,Can you please roll the ball back to me?,v. 滚动；卷；碾 n. 卷；名单；滚动
survive,/səˈvaɪv/,Few plants can survive in the desert.,v. 幸存；活下来；比...活得长
survival,/səˈvaɪ.vəl/,Finding water is key to survival in the wilderness.,n. 生存；幸存；残存物
surname,/ˈsɜː.neɪm/,What is your surname?,n. 姓；姓氏
surplus,/ˈsɜː.pləs/,The factory sold its surplus materials.,n. 过剩；盈余；顺差 adj. 过剩的；多余的
