word,phonetic,sentence,chinese
polish,/ˈpɒlɪʃ/,He polished his shoes until they shone.,v. 擦亮，磨光；改进，润色 n. 光泽，光亮；擦亮剂；优雅，文雅
point,/pɔɪnt/,She made a good point during the discussion.,n. 点；要点；观点；尖端；分数；目的 v. 指向；指出；瞄准
propel,/prəˈpel/,The engine propels the boat forward.,v. 推进，推动；驱使，激励
proper,/ˈprɒpə(r)/,Please wear proper attire for the ceremony.,adj. 合适的，恰当的；正确的；特有的；真正的；体面的
property,/ˈprɒpəti/,He owns several properties in the city.,n. 财产，资产；房产；特性，属性
proportion,/prəˈpɔːʃn/,A large proportion of the budget is spent on education.,n. 比例；部分；均衡；面积 v. 使成比例，使均衡
proposal,/prəˈpəʊzl/,The committee rejected his proposal.,n. 提议，建议；求婚
propose,/prəˈpəʊz/,I propose we take a short break.,v. 提议，建议；打算；求婚
proposition,/ˌprɒpəˈzɪʃn/,It's an interesting business proposition.,n. 主张，观点；提议；命题；企业 v. 向...提出下流要求
prospect,/ˈprɒspekt/,There is a prospect of rain later.,n. 可能性，前景；景象；潜在客户 v. 勘探，勘察
prospective,/prəˈspektɪv/,We interviewed several prospective employees.,adj. 预期的，未来的；可能的
protocol,/ˈprəʊtəkɒl/,Please follow the safety protocol.,n. 协议，议定书；礼仪，外交礼节；科学实验步骤
proximate,/ˈprɒksɪmət/,The proximate cause of the accident was a loose wire.,adj. 最接近的，直接的；近似的
restore,/rɪˈstɔː(r)/,They worked to restore the old painting.,v. 恢复；修复；归还；使复原
restrain,/rɪˈstreɪn/,He could barely restrain his anger.,v. 抑制，控制；阻止，限制
restraint,/rɪˈstreɪnt/,She showed great restraint in her response.,n. 克制，抑制；约束措施；拘谨
restrict,/rɪˈstrɪkt/,The law restricts the sale of alcohol.,v. 限制，约束；限定
attach,/əˈtætʃ/,Please attach the file to your email.,v. 附上，贴上；使依附；使喜爱；认为有重要性
attack,/əˈtæk/,The army launched an attack at dawn.,n. 攻击，袭击；抨击；（疾病）发作 v. 攻击，袭击；抨击；着手处理
attain,/əˈteɪn/,She finally attained her goal of becoming a doctor.,v. 达到，获得；到达
attempt,/əˈtempt/,He made an attempt to climb the mountain.,n. 尝试，企图 v. 试图，尝试
attend,/əˈtend/,Will you attend the meeting tomorrow?,v. 参加，出席；照料，护理；注意，专心
crisis,/ˈkraɪsɪs/,The country is facing an economic crisis.,n. 危机；危急关头；决定性时刻
attitude,/ˈætɪtjuːd/,His positive attitude is inspiring.,n. 态度，看法；姿势
attention,/əˈtenʃn/,Please pay attention to the instructions.,n. 注意，注意力；照料；立正姿势
attribute,/əˈtrɪbjuːt/,She attributes her success to hard work.,v. 把...归因于 /ˈætrɪbjuːt/ n. 属性，特性；象征物
court,/kɔːt/,The case will be heard in court next week.,n. 法院，法庭；宫廷；球场；庭院 v. 讨好，奉承；招致；求爱
courtesy,/ˈkɜːtəsi/,He showed great courtesy to the guests.,n. 礼貌，谦恭；好意；礼貌的言行
cover,/ˈkʌvə(r)/,Please cover the food with a lid.,v. 覆盖；包括；行走（一段路程）；报道；给...保险 n. 封面；盖子；掩护；保险
create,/kriˈeɪt/,The artist loves to create new sculptures.,v. 创造，创作；引起，产生
creative,/kriˈeɪtɪv/,She is a very creative writer.,adj. 创造性的，有创造力的；创作的 n. 创意人士
credit,/ˈkredɪt/,He got credit for his hard work.,n. 赞扬，认可；信用，信贷；学分；信任 v. 相信；把...记入贷方；归功于
drive,/draɪv/,Can you drive me to the station?,v. 驾驶；驱赶；迫使；推动 n. 驾车旅行；车道；驱动力；驱动器
drug,/drʌɡ/,This drug is used to treat infections.,n. 药，药物；毒品 v. 使服麻醉药；下药
export,/ɪkˈspɔːt/,The country exports a lot of tea.,v. 出口，输出 /ˈekspɔːt/ n. 出口，输出；出口产品
